"id","created","reporting_user_id","reported_user_id","reason_id","comment","id","localizable_string_name"
313103,"2016-11-15 17:42:40.995969",2825237,133362,6,"repetitive",6,"ReportReason_6"
388165,"2017-05-12 02:07:36.789864",2602100,3381969,2,"",2,"ReportReason_2"
388167,"2017-05-12 02:07:46.108562",2602100,3381969,2,"",2,"ReportReason_2"
388168,"2017-05-12 02:07:53.688622",2602100,3381969,2,"",2,"ReportReason_2"
388170,"2017-05-12 02:08:02.267035",2602100,3381969,2,"",2,"ReportReason_2"
388277,"2017-05-12 04:40:58.220798",2677926,3381969,1,"",1,"ReportReason_1"
359612,"2017-03-04 07:42:52.633414",3165848,3114540,2,"",2,"ReportReason_2"
328385,"2016-12-18 17:12:51.643268",2767460,2955779,2,"",2,"ReportReason_2"
328743,"2016-12-19 12:26:38.969855",2394216,2955779,2,"",2,"ReportReason_2"
328472,"2016-12-18 22:31:39.264684",1072168,2955779,2,"",2,"ReportReason_2"
328765,"2016-12-19 13:50:43.158313",2313646,2955779,2,"",2,"ReportReason_2"
329191,"2016-12-20 13:17:01.33598",176565,2955779,2,"",2,"ReportReason_2"
348362,"2017-01-31 11:37:54.600622",391800,2980043,6,"",6,"ReportReason_6"
164430,"2016-04-23 01:05:31.370776",551462,1092754,4,"",4,"ReportReason_4"
164480,"2016-04-23 01:37:03.463825",816321,1092754,4,"",4,"ReportReason_4"
164543,"2016-04-23 02:16:25.393906",616800,1092754,4,"",4,"ReportReason_4"
164638,"2016-04-23 03:33:04.263322",821774,1092754,4,"",4,"ReportReason_4"
374569,"2017-04-19 04:46:45.549311",3267343,3323023,6,"Soliciting information for financial reasons. ",6,"ReportReason_6"
374570,"2017-04-19 04:48:09.819187",3268920,3323023,2,"",2,"ReportReason_2"
374571,"2017-04-19 04:48:28.459212",3268920,3323023,2,"",2,"ReportReason_2"
374577,"2017-04-19 05:03:16.605467",372424,3323023,2,"",2,"ReportReason_2"
374608,"2017-04-19 07:16:06.519005",2705742,3323023,2,"",2,"ReportReason_2"
374613,"2017-04-19 07:38:26.018265",3308395,3323023,2,"",2,"ReportReason_2"
374803,"2017-04-19 17:33:12.575858",3284526,3323023,2,"",2,"ReportReason_2"
374669,"2017-04-19 11:25:06.514973",2356900,3323023,2,"",2,"ReportReason_2"
