"account_id","notify_text","notify_relationship_status","notify_new_photo","notify_instagram","notify_remote","notify_feeling","last_instagram_notified","last_swipe_notified","remote_notification","powerlike_gift","notify_location","remote_notifications_sent","notify_birthday","birthday_notifications_sent","notify_market","notify_shoutout","xmas_newsletter_sent"
2071640,t,t,t,t,t,t,"","",,t,t,"{10,13,18,20,21}",t,"",t,t,
3264756,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3245918,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3058048,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
3154125,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
516061,t,t,t,t,t,t,"","2016-01-31 23:46:48",,,t,"{10,20,21}",t,"",t,t,
2667341,t,t,t,t,t,t,"","",,,t,"{13,16,17,18,20,21}",t,"{2017}",t,t,
3103757,t,t,t,t,t,t,"","",,,t,"{18,20}",t,"",t,t,
3023525,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"{2017}",t,t,
2904397,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2521817,t,t,t,t,t,t,"","",,,t,"{10,13,20,21}",t,"",t,t,
2956741,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
2856283,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
3350567,t,t,t,t,t,t,"","",,t,t,"",t,"",t,t,
2728912,t,t,t,t,t,t,"","",,,t,"{18}",t,"{2017}",t,t,
2685458,t,t,t,t,t,t,"","",,,t,"{13,20,21}",t,"",t,t,t
2730916,t,t,t,t,t,t,"","",,,t,"{13,20,21}",t,"{2017}",t,t,
594744,f,f,f,f,f,f,"","2016-02-01 05:34:38",,,t,"",t,"{2016}",t,t,
3167533,t,t,t,t,t,t,"","",,,t,"{20}",t,"",t,t,
3166542,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3046667,t,t,t,t,t,t,"","",,,t,"",t,"{2017}",t,t,
2889118,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
3128320,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
3357389,t,t,t,t,t,t,"","",,t,t,"{21}",t,"",t,t,
396822,t,t,f,f,t,t,"","2016-02-01 07:52:02",,,t,"{10}",t,"{2017}",t,t,
438258,t,t,t,t,t,t,"","2016-02-01 03:34:00",,,t,"",t,"",t,t,
2681019,t,f,f,t,f,f,"","",,,t,"{13,20,21}",f,"{2016}",f,t,
243551,t,t,t,t,t,t,"","2016-02-01 00:36:50",,,t,"{10,13,16,17,18}",t,"",t,t,
882842,t,t,t,t,t,t,"","2016-01-27 22:41:16",,t,t,"",t,"",t,t,
3267167,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
440483,t,t,t,t,t,t,"","2016-02-01 07:44:21",,,t,"{10,11,12,13,16,17,18,20,21}",t,"",t,t,t
3354574,t,t,t,t,t,t,"","",,t,t,"{21}",t,"{2017}",t,t,
3210609,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
1071004,t,t,t,t,t,t,"","",,t,t,"{10,13,16,17,18,20,21}",t,"{2017}",t,t,
2667820,t,t,t,t,t,t,"","",,,f,"{13,20,21}",t,"{2017}",t,t,
2248161,t,t,t,t,t,t,"","",t,t,t,"{13,16,17,18,20,21}",t,"",t,t,t
625068,t,t,t,t,t,t,"","2016-02-01 06:58:28",,t,t,"{10,13,20,21}",t,"{2017}",t,t,t
3189060,t,t,t,t,t,t,"","",,,t,"{21}",t,"",t,t,
2042712,t,t,t,t,t,t,"","",,t,t,"{10,13,20,21}",t,"",t,t,
168068,t,t,t,t,t,t,"","2016-02-01 04:17:00",,,t,"{10,13,20,21}",t,"",t,t,
3289666,t,t,t,t,t,t,"","",,,t,"{21}",t,"",t,t,t
3234489,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2970898,t,t,t,t,t,t,"","",,,t,"{20,18,21}",t,"{2017}",t,t,
706532,t,t,t,t,t,t,"","2016-01-30 03:00:05",,t,t,"",t,"",t,t,
279396,t,t,t,t,t,t,"","2016-02-01 06:56:56",,,t,"{10,13,20,21}",t,"",t,t,
2851504,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
344379,t,t,t,t,t,t,"","",,,t,"",t,"",t,t,
3134910,t,t,t,t,t,t,"","",,,t,"{20,21}",t,"",t,t,
2275436,t,t,t,t,t,t,"","",t,t,t,"{13,20,21}",t,"",t,t,
934314,t,t,t,t,t,t,"","",,t,t,"",t,"{2017}",t,t,
822526,f,f,f,f,f,t,"","2016-02-01 02:02:45",,t,t,"",t,"{2017}",t,t,
2953741,t,t,t,t,t,t,"","",,,t,"{16,17,18,20,21}",t,"{2017}",t,t,
